ID_Obat;Nama_Obat;Kategori;Indikasi;Kontraindikasi;Dosis_Dewasa;Dosis_Anak;Bentuk_Sediaan;Kandungan;Efek_Samping;Interaksi;Peringatan;Harga;Ketersediaan;Produsen;No_BPOM;Golongan;Resep;Rating
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
BD001;Bodrex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri ringan;Hipersensitivitas, gangguan hati berat;2 tablet, 3-4x sehari;½-1 tablet, 3x sehari;Tablet;Paracetamol 600mg, Caffeine 50mg;Mual, mengantuk, gangguan pencernaan;Warfarin, alkohol, kafein;Hindari penggunaan berlebihan, dapat menyebabkan kerusakan hati;Rp3.000;Tersedia;PT Tempo Scan Pacific;DBL7621234580;Bebas;Tidak;4
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
PX001;Paramex;Analgesik-Antipiretik;Sakit kepala, demam, nyeri;Hipersensitivitas, gangguan hati;2 tablet, 3x sehari;Tidak direkomendasikan;Tablet;Paracetamol 250mg, Caffeine 50mg;Mengantuk, mual, gangguan pencernaan;Warfarin, alkohol;Jangan melebihi dosis yang dianjurkan;Rp2.500;Tersedia;PT Konimex;DBL7621234582;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
PN001;Panadol;Analgesik-Antipiretik;Demam, nyeri ringan-sedang;Hipersensitivitas, penyakit hati berat;"1-2 tablet, 3-4x sehari
";Sesuai berat badan;Tablet;Paracetamol 500mg;Ruam kulit, gangguan hati (dosis tinggi);Warfarin, metoklopramid;Tidak melebihi 4000mg per hari;Rp12.000;Tersedia;PT Sterling;DBL7621234583;Bebas;Tidak;4
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
IG001;Ibuprofen Generic;Analgesik-Antiinflamasi;Nyeri, demam, radang;Tukak lambung, gangguan perdarahan;400mg, 3x sehari;5-10mg/kg BB/dosis;Tablet;Ibuprofen 400mg;Mual, dispepsia, sakit kepala;Aspirin, antikoagulan, antihipertensi;Hindari penggunaan jangka panjang;Rp4.000;Tersedia;PT Kimia Farma;DBL7621234585;Bebas Terbatas;Tidak;5
